dev_id,role_name,from_date,to_date
1011,Senior Dev,2020-04-02,2022-04-02
1023,Junior Dev,2018-05-22,2021-12-01
1044,Intern,2020-03-09,2020-03-09
1014,Intern,2023-01-07,2023-01-07
1037,Senior Dev,2017-06-25,2022-06-25
1007,Senior Dev,2015-10-14,2018-10-14
1009,Junior Dev,2012-07-27,2015-07-27
1025,Senior Dev,2017-05-18,2020-05-18
1047,Junior Dev,2020-04-18,9999-01-01
1039,Junior Dev,2013-03-20,2018-03-20
1001,Senior Dev,2020-05-20,9999-01-01
1018,Senior Dev,2019-04-20,2021-04-20
1024,Senior Dev,2012-09-08,2015-09-08
1033,Senior Dev,2014-10-26,2016-10-26
1027,Junior Dev,2023-08-01,2023-08-01
1003,Senior Dev,2021-01-26,9999-01-01
1042,Senior Dev,2019-07-14,2020-07-14
1005,Junior Dev,2018-09-08,2019-09-08
1048,Junior Dev,2013-05-21,2016-07-04
1006,Senior Dev,2016-06-25,2018-06-25
1029,Junior Dev,2011-09-08,2014-09-08
1030,Senior Dev,2021-03-24,2022-03-24
1035,Senior Dev,2018-01-01,2021-01-01
1049,Junior Dev,2020-03-12,2022-03-12
1019,Senior Dev,2015-05-29,2017-05-29
1020,Junior Dev,2021-04-06,2023-04-06
1038,Junior Dev,2016-12-07,2019-12-07
1041,Senior Dev,2017-03-25,2020-03-25
1050,Junior Dev,2011-07-06,2014-07-06
1021,Junior Dev,2016-01-20,2019-09-29
1015,Senior Dev,2022-05-24,2023-05-24
1045,Senior Dev,2021-03-18,2021-03-18
1017,Junior Dev,2018-02-12,2018-02-12
1040,Intern,2014-01-08,2014-01-08
1004,Intern,2014-04-01,2014-04-01
1028,Intern,2017-03-03,2017-03-03
1013,Junior Dev,2018-04-07,2018-04-07
1022,Intern,2020-09-04,2020-09-04
1012,Intern,2016-01-09,2016-01-09
1043,Intern,2015-07-29,2018-01-02
1040,Senior Dev,2014-01-08,2014-01-08
1008,Intern,2013-10-23,2013-10-23
1046,Senior Dev,2019-04-07,2021-07-29
1045,Senior Dev,2021-03-18,2022-12-29
1010,Intern,2022-04-03,2022-04-03
1017,Lead,2019-03-09,2019-03-09
1011,Intern,2020-04-02,2020-04-02
1023,Senior Dev,2021-12-01,9999-01-01
1044,Senior Dev,2020-03-09,2020-03-09
1014,Senior Dev,2023-01-07,2023-01-07
1037,Junior Dev,2017-06-25,2017-06-25
1007,Lead,2018-10-14,2018-10-14
1009,Intern,2012-07-27,2012-07-27
1025,Intern,2015-05-18,2017-05-18
1047,Senior Dev,2020-04-18,2021-07-16
1039,Intern,2013-03-20,2013-03-20
1001,Intern,2017-06-25,2017-06-25
1018,Intern,2018-04-20,2019-04-20
1024,Intern,2010-09-08,2012-09-08
1033,Intern,2012-10-26,2014-10-26
1027,Senior Dev,2023-08-01,2023-08-01
1003,Intern,2019-01-26,2019-01-26
1042,Junior Dev,2017-10-14,2019-07-14
1005,Intern,2018-09-08,2018-09-08
1048,Senior Dev,2016-07-04,9999-01-01
1006,Intern,2014-06-25,2016-06-25
1029,Intern,2011-09-08,2011-09-08
1030,Intern,2019-03-24,2021-03-24
1035,Intern,2016-01-01,2018-01-01
1049,Intern,2020-03-12,2020-03-12
1019,Junior Dev,2012-05-29,2015-05-29
1020,Intern,2021-04-06,2021-04-06
1038,Intern,2016-12-07,2016-12-07
1041,Intern,2013-03-25,2017-03-25
1050,Intern,2011-07-06,2011-07-06
1021,Senior Dev,2019-09-29,9999-01-01
1015,Junior Dev,2020-05-24,2022-05-24
1045,Lead,2022-12-29,9999-01-01
1017,Principal,2019-03-09,2020-08-01
1040,Senior Dev,2020-11-02,2022-08-01
1004,Senior Dev,2016-06-10,2020-08-01
1028,Senior Dev,2019-02-17,2021-08-01
1013,Lead,2021-02-14,2022-08-01
1022,Senior Dev,2013-06-24,2015-03-01
1012,Senior Dev,2021-04-03,2022-08-01
1043,Senior Dev,2023-01-02,2024-08-01
1040,Lead,2014-01-08,2020-11-02
1008,Senior Dev,2014-02-16,2020-08-01
1046,Junior Dev,2021-07-29,2023-08-01
1045,Intern,2021-03-18,2022-12-29
1010,Senior Dev,2022-04-03,2023-08-01
1017,Principal,2020-08-01,9999-01-01
1011,Lead,2022-04-02,2023-08-01
1023,Intern,2016-06-18,2018-05-22
1044,Junior Dev,2020-03-09,2021-08-01
1014,Junior Dev,2023-01-07,2024-08-01
1037,Lead,2022-06-25,2023-08-01
1007,Principal,2018-10-14,2022-08-01
1009,Senior Dev,2015-07-27,2020-08-01
1025,Principal,2020-05-18,2022-08-01
1047,Intern,2018-04-18,2020-04-18
1039,Senior Dev,2018-03-20,2023-08-01
1001,Junior Dev,2017-06-25,2020-05-20
1018,Principal,2021-04-20,2023-08-01
1024,Principal,2015-09-08,2022-08-01
1033,Lead,2016-10-26,2022-08-01
1027,Intern,2023-08-01,2024-08-01
1003,Junior Dev,2019-01-26,2021-01-26
1042,Principal,2020-07-14,2022-08-01
1005,Senior Dev,2019-09-08,2022-08-01
1048,Intern,2010-06-21,2013-05-21
1006,Lead,2018-06-25,2022-08-01
1029,Senior Dev,2014-09-08,2020-08-01
1030,Lead,2022-03-24,2023-08-01
1035,Principal,2021-01-01,2023-08-01
1049,Senior Dev,2022-03-12,2023-08-01
1019,Principal,2017-05-29,2022-08-01
1020,Senior Dev,2023-04-06,2024-08-01
1038,Senior Dev,2019-12-07,2023-08-01
1041,Lead,2020-03-25,2022-08-01
1050,Senior Dev,2014-07-06,2020-08-01
1021,Senior Dev,2019-09-29,2023-08-01
1015,Principal,2023-05-24,2024-08-01
1045,Lead,2022-12-29,2024-08-01
1017,Principal,2020-08-01,2022-08-01
1040,Senior Dev,2020-11-02,2022-08-01
1004,Senior Dev,2016-06-10,2020-08-01
1028,Senior Dev,2019-02-17,2021-08-01
1013,Lead,2021-02-14,2022-08-01
1022,Senior Dev,2013-06-24,2015-03-01
1012,Senior Dev,2021-04-03,2022-08-01
1043,Senior Dev,2023-01-02,2024-08-01
1040,Lead,2014-01-08,2020-11-02
1008,Senior Dev,2014-02-16,2020-08-01
1046,Junior Dev,2021-07-29,2023-08-01
1045,Intern,2021-03-18,2022-12-29
1010,Senior Dev,2022-04-03,2023-08-01
1017,Principal,2020-08-01,2022-08-01
1011,Lead,2022-04-02,2023-08-01
1023,Intern,2016-06-18,2018-05-22
1044,Junior Dev,2020-03-09,2021-08-01
1014,Junior Dev,2023-01-07,2024-08-01
1037,Lead,2022-06-25,2023-08-01
1007,Principal,2018-10-14,2022-08-01
1009,Senior Dev,2015-07-27,2020-08-01
1025,Principal,2020-05-18,2022-08-01
1047,Intern,2018-04-18,2020-04-18
1039,Senior Dev,2018-03-20,2023-08-01
1001,Junior Dev,2017-06-25,2020-05-20
1018,Principal,2021-04-20,2023-08-01
1024,Principal,2015-09-08,2022-08-01
1033,Lead,2016-10-26,2022-08-01
1027,Intern,2023-08-01,2024-08-01
1003,Junior Dev,2019-01-26,2021-01-26
1042,Principal,2020-07-14,2022-08-01
1005,Senior Dev,2019-09-08,2022-08-01
1048,Intern,2010-06-21,2013-05-21
1006,Lead,2018-06-25,2022-08-01
1029,Senior Dev,2014-09-08,2020-08-01
1030,Lead,2022-03-24,2023-08-01
1035,Principal,2021-01-01,2023-08-01
1049,Senior Dev,2022-03-12,2023-08-01
1019,Principal,2017-05-29,2022-08-01
1020,Senior Dev,2023-04-06,2024-08-01
1038,Senior Dev,2019-12-07,2023-08-01
1041,Lead,2020-03-25,2022-08-01
1050,Senior Dev,2014-07-06,2020-08-01
1021,Senior Dev,2019-09-29,2023-08-01
1015,Principal,2023-05-24,2024-08-01
1045,Lead,2022-12-29,2024-08-01
